brief_excerpt,age_group,how_to_apply_or_enroll_by,apply_online_call_to_action,program_category,population_served,updated_at
Un programme de gel des loyers visant à aider les New-Yorkais à conserver leur logement,,"\nImprimez une (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/scrie/scrie-initial-application-only.pdf) demande initiale (https://www1.nyc.gov/assets/hpd/downloads/pdfs/services/scrie-application.pdf) et remplissez-la. Vous pouvez aussi en prendre une au Centre d’assistance SCRIE ou appeler le 311 (mailto:SCRIE@hpd.nyc.gov) pour demander à ce qu’une demande vous soit envoyée par courrier postal.\nEnvoyez votre demande dûment remplie et signée accompagnée des pièces justificatives à l’adresse :Rent Freeze Program – SCRIEP.O. Box 3179Union, NJ 07083Si vous vivez dans un logement social Mitchell-Lama ou Redevelopment Company :\nTéléchargez la demande HPD SCRIE et envoyez-la par courrier postal à l’adresse :HPD SCRIE Unit100 Gold Street, 7th floor New York, New York, 10038\nVous pouvez également envoyer par courriel votre demande dûment remplie par courriel à l’adresse SCRIE@hpd.nyc.gov.",Déposez une demande en ligne,Housing,"People with disabilities,Older adults,Veterans",2024-11-01T11:01:37.000
আপনি কাজ করার সময় বা কাজের সন্ধান করার সময় শিশু পরিচর্যা বা প্রাপ্তবয়স্কদের নির্ভরশীল পরিচর্যার জন্য অর্থ প্রদান করে থাকলে টাকা ফেরত পান।,,"ফর্ম 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) অথবা (https://www.irs.gov/forms-pubs/about-form-1040-nr) ফর্ম 1040NR (https://www.irs.gov/pub/irs-pdf/f2441.pdf) পূরণ করুন, এবংফর্ম 2441অন্তর্ভুক্ত করুন।",অনলাইন ফাইল করুন (File online),Cash & Expenses,,2025-02-11T11:01:42.000
COMPASS NYC এর কিন্ডারগার্টেন থেকে শুরু করে 12 গ্রেডের শিক্ষার্থীদের জন্য শতাধিক কর্মসূচি আছে।,,,একটি স্কুল ছুটির পরের কার্যক্রম খুজুন,Enrichment,"Children (0-13),Students,Youth (10+)",2022-03-23T11:01:32.000
"현금 보조금은 임대료, 공과금 및 기타 비상 지출 비용 지불에 도움이 될 수 있습니다.",,\n (https://otda.ny.gov/programs/applications/2921-KO.pdf) 신청서를 인쇄 (http://www1.nyc.gov/site/hra/locations/job-locations.page) 해 작성하십시오.\n신청서를 HRA 혜택 접근 센터 (http://www1.nyc.gov/site/hra/locations/job-locations.page) 로 우편 발송하거나 서류 투입함(Drop Box)에 넣습니다.\n전화 인터뷰를 위해 연락을 받을 것입니다. 대면 인터뷰를 위해 HRA 혜택 접근 센터를 방문하실 수도 있습니다.,온라인 신청 또는 재인증,Cash & expenses,Everyone,2024-07-11T11:01:06.000
房主可以獲得學校財產稅的部分免除。,,如果您在申請的那一年年滿 65 歲，並且在 2015-16 年對您的財產獲得了 STAR 豁免，您可以申請 Enhanced STAR (E-STAR)。填妥「 (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/star-to-estar.pdf) STAR 至 ESTAR」申請表 (https://www1.nyc.gov/site/finance/benefits/landlords-star.page) ，即可向紐約市財政局 (Department of Finance (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/star_appl.pdf) ) 申請。如果您從 2015 年或之前就開始享有不動產的初級 STAR 豁免，並且已失去資格，您可以填寫 STAR 福利恢復 (STAR Benefit Restoration) 申請表來恢復 STAR 豁免。,線上申請,Cash & expenses,Homeowners,2024-10-22T11:01:38.000
"Программа освобождения от повышения арендной платы помогает жителям г. Нью-Йорка, которые соответствуют установленным критериям, избежать выселения",,"\nРаспечатайте (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/scrie/scrie-initial-application-only.pdf) первоначальную заявку (https://www1.nyc.gov/assets/hpd/downloads/pdfs/services/scrie-application.pdf) и заполните ее. Вы также можете получить форму в центре помощи SCRIE или позвонить по номеру 311, чтобы форму заявки выслали вам по почте.\nОтправьте заполненную и подписанную заявку с подтверждающими документами по адресу:Rent Freeze Program – SCRIEP.O. Box 3179Union, NJ 07083Если вы живете в домах программы Mitchell-Lama или компании по реконструкции жилых районов:\nСкачайте (mailto:SCRIE@hpd.nyc.gov) форму заявки HPD SCRIE и отправьте ее по адресу:HPD SCRIE Unit100 Gold Street, 7th floorNew York, New York, 10038\nВы также можете отправить заполненную заявку по адресу электронной почты: SCRIE@hpd.nyc.gov.",Подайте онлайн-заявку,Housing,"Immigrants,People with disabilities ,Seniors,Veterans",2022-03-23T11:02:22.000
اہل قرار یافتہ ان سابق فوجیوں کے لیے پراپرٹی ٹیکس کو کم کریں جنہوں نے مخصوص تصادم کے وقت خدمات انجام دیں۔,,"اسی سال 1 جولائی سے شروع ہونے والی آپ کی مراعات کے لیے درخواستوں پر 15 مارچ تک ڈاک کی مہر لازمی طور پر لگ جانی چاہیے۔\n (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/veterans.pdf) ابتدائی چھوٹ کی ایپلیکیشن ڈاؤن لوڈ کریں (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) اور اسے پُر کریں۔ آپ 311 پر کال کر کے بھی کہہ سکتے ہیں کہ آپ کو ایک ایپلیکیشن ڈاک سے بھیج دی جائے۔\nدرخواست دیتے وقت، آپ کو اپنے گھر کے بورو، بلاک، اور لاٹ (BBL) کی ضرورت ہوگی۔یہ معلومات حاصل کرنے کے لیے پراپرٹی ایڈریس سرچ استعمال کریں۔\nاپنی مطلوبہ دستاویزات اکٹھی کریں اور انہیں اپنی درخواست کے ساتھ شامل کریں۔ ان کے بغیر آپ کی درخواست پر کارروائی نہیں کی جائے گی۔\nاپنی درخواست اور مطلوبہ دستاویزات کو مکمل کر کے اس پتہ پر ڈاک سے بھیج دیں:New York City Department of Finance P.O. BOX 311 Maplewood, NJ 07040-0311",آن لائن درخواست دیں,Cash & Expenses,"Veterans,Homeowners",2024-10-23T11:01:22.000
Les propriétaires peuvent obtenir une exonération partielle de leurs impôts fonciers scolaires.,,"Si vous avez 65 ans ou plus l'année de votre demande et que vous avez bénéficié d'une exemption STAR sur votre propriété en 2015-2016, vous pouvez demander une STAR améliorée (E-STAR). Postulez auprès du ministère des Finances de New York (https://www1.nyc.gov/site/finance/benefits/landlords-star.page) en remplissant le formulaire « (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/star-to-estar.pdf) STAR to ESTAR (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/star_appl.pdf) ».Si vous avez bénéficié d’une exemption STAR de base sur votre propriété depuis 2015 ou avant et que vous l’avez perdue, vous pouvez demander à la rétablir en remplissant la demande de rétablissement des prestations STAR.",Faire une demande en ligne,Cash & Expenses,Homeowners,2024-10-22T11:01:38.000
يسدد برنامج المادة 8 جزءًا من الإيجار للعائلات منخفضة الدخل ومتوسطة الدخل الراغبة في الاستئجار من سوق القطاع الخاص.,,,,Housing,,2025-05-28T11:01:32.000
"Obniżają podatki od nieruchomości dla kwalifikujących się weteranów, którzy służyli w określonych konfliktach zbrojnych.",,"Wnioski należy przesłać pocztą do 15 marca, aby świadczenie zaczęło przysługiwać od 1 lipca tego samego roku.\n (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/veterans.pdf) Należy pobrać wstępny wniosek o zwolnienie (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) i wypełnić go. Można również zadzwonić pod numer 311, aby otrzymać wniosek pocztą.\nPrzy składaniu wniosku należy podać dzielnicę, blok i działkę (BBL), w której znajduje się dom. Należy skorzystać z wyszukiwarki adresów nieruchomości, aby uzyskać te informacje.\nNależy zebrać wymagane dokumenty i dołączyć je do wniosku. Bez nich Twój wniosek nie zostanie rozpatrzony.\nWypełniony wniosek oraz wymagane dokumenty należy wysłać na adres: New York City Department of Finance P.O.BOX 311 Maplewood, NJ 07040-0311",Złóż wniosek online,Cash & Expenses,"Veterans,Homeowners",2024-10-23T11:01:50.000
특정 분쟁 지역에서 복무한 자격 획득 재향군인의 재산세를 낮춰 드립니다.,,"그해 7월 1일부터 혜택을 받으려면 3월 15일까지 신청서에 소인이 찍혀 있어야 합니다.\n (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/veterans.pdf) 최초 면제 신청서를 다운로드 (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) 하여 작성하십시오. 311번으로 전화를 걸어 우편으로 받을 수도 있습니다.\n신청 시 집에 대한 자치구, 블록 및 로트(BBL)가 필요합니다. 재산 주소 검색을 사용하여 정보를 확인하십시오.\n필수 제출 서류를 준비하고 신청서에 동봉하십시오. 서류가 없으면 신청서가 처리되지 않습니다.\n작성된 신청서와 필수 제출 서류를 우편으로 다음 주소로 보내주십시오. New York City Department of Finance P.O.BOX 311 Maplewood, NJ 07040-0311",온라인 신청,Cash & expenses,"Veterans,Homeowners",2024-10-23T11:01:22.000
Homeowners can get a partial exemption from school property taxes.,Caregiver,"If you get the Basic STAR exemption (as of 2015-16) and are now eligible for Enhanced STAR:\nIf you get the Basic STAR exemption as of 2015-16 and are now eligible for Enhanced STAR (E-STAR), you can apply through the Department of Finance with the (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/star-to-estar.pdf) ""STAR to ESTAR"" application (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/star_appl.pdf) \nApply by March 15 for the benefit to begin that year.If you want to restore your Basic STAR exemption:\nIf you got the Basic STAR exemption in 2015-16 but later lost the benefit, you can restore it through NYC Department of Finance. \nComplete the (https://www.tax.ny.gov/pit/property/star/) STAR Benefit Restoration application. Apply by March 15 for the benefit to begin that year.\nIf your combined income is $250,001-$500,000, you'll need to apply for the New York State STAR tax credit instead.",,Cash & expenses,Homeowners,2024-10-12T11:02:01.000
"Crédito fiscal con un valor de hasta $11,000 para las familias que califiquen, el padre/madre sin custodia y las personas que trabajan tiempo completo, tiempo parcial o de forma independiente.",,"Si presenta su declaración de impuestos por correo, necesitará estos formularios:\nFormulario 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) o (https://www.irs.gov/forms-pubs/about-form-1040-nr) Formulario 1040NR (https://www.irs.gov/pub/irs-pdf/f1040sei.pdf) para el EITC federal\nAnexo EIC (https://www.tax.ny.gov/pdf/current_forms/it/it215_fill_in.pdf) para la declaración federal, si tiene un hijo\nFormulario IT-215 (https://www.tax.ny.gov/pdf/current_forms/it/it215i.pdf) para el crédito del estado de Nueva York\nHoja de trabajo C en el formulario de instrucciones para IT-215 para el crédito del estado de Nueva York",Declaración en línea,Cash & expenses,,2025-02-06T11:01:52.000
ভাড়া স্থিরীকরণ কর্মসূচি যোগ্য নিউ ইয়র্কবাসীদের নিজের বাড়িতে থাকতে সাহায্য করে,,"\n (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/scrie/scrie-initial-application-only.pdf) প্রাথমিক আবেদন (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/scrie/translations/scrie-initial-packet_beng.pdf) প্রিন্ট করুন এবং এটিকে পূরণ করুন। এছাড়াও আপনি SCRIE সহায়তা কেন্দ্র থেকে একটি বাছাই করতে পারেন বা 311 (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/scrie/translations/scrie-initial-packet_beng.pdf) নম্বরে ফোন করে আপনার কাছে একটি আবেদন পাঠানোর অনুরোধ করতে পারেন।\nসহায়ক নথি সহ আপনার সম্পূর্ণ করা ও সই করা নথি ডাকযোগে পাঠান: (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/scrie/translations/scrie-initial-packet_beng.pdf) (https://www1.nyc.gov/assets/hpd/downloads/pdfs/services/scrie-application.pdf) Rent Freeze Program – SCRIEP.O. Box 3179Union, NJ 07083যদি আপনি Mitchell-Lama বা রিডেভেলপমেন্ট কোম্পানি ডেভেলপমেন্ট আবাসনে বাস করেন:\nHPD SCRIE আবেদন সম্পুর্ণ করুন এবং ইমেল করুন:HPD SCRIE Unit100 Gold Street, 7th floorNew York, New York, 10038\nএছাড়াও আপনি সম্পূর্ণ করা আবেদনটি এখানে পাঠাSCRIE@hpd.nyc.gov।ন",অনলাইনে আবেদন করুন,Housing,"Immigrants,People with disabilities, Seniors,Veterans",2022-03-23T11:02:17.000
يمكن للمساعدة النقدية مساعدتك في دفع الإيجار ومستحقات المرافق ونفقات الطوارئ الأخرى.,,\n (https://otda.ny.gov/programs/applications/2921-AR.pdf) اطبع الطلب (http://www1.nyc.gov/site/hra/locations/job-locations.page) وأكمله.\nأرسله بالبريد أو اتركه في صندوق الإيداع في مركز الوصول إلى مخصصات HRA. (http://www1.nyc.gov/site/hra/locations/job-locations.page) .\nسيتم التواصل معك لإجراء مقابلة هاتفية. يمكنك أيضًا زيارة مركز الوصول إلى مخصصات HRA لإجراء مقابلة شخصية.,تقدّم بطلب أو أعد إثبات أهليتك عبر الإنترنت,Cash & expenses,Everyone,2024-08-13T11:01:18.000
第 8 節為想要透過自由市場租屋的中低收入家庭補助部分租金。,,,,Housing,,2025-05-28T11:01:32.000
Пожилые люди могут получить частичное освобождение от уплаты налогов на недвижимость.,,"Заявления должны быть отправлены по почте (по дате на почтовом штемпеле) до 15 марта, чтобы выплата пособия началась с 1 июля того же года.\n (https://www1.nyc.gov/assets/finance/downloads/pdf/translations/sche_initial/sche-initial-rus.pdf) Загрузите и распечатайте заявление об освобождении (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) и заполните его. Также вы можете позвонить по номеру 311, чтобы запросить отправку бумажной копии вам на адрес.\nПри подаче заявления вам понадобится информация о районе, блоке и лоте (Borough-Block-Lot, BBL) вашего дома.Для получения этой информации воспользуйтесь поиском по адресу недвижимости.\nСоберите необходимые документы и приложите их к заявлению. Ваше заявление не будет рассмотрено без них.\nОтправьте заполненное заявление и необходимые документы на адрес: New York City Department of Finance Homeowner Tax Benefits P.O. Box 311 Maplewood, NJ 07040-0311",Подача заявки онлайн,Cash & expenses,"Older adults,Homeowners",2024-10-23T11:01:16.000
Jwenn yon ranbousman si w te peye pou gad timoun oswa pou gad adilt ki depandan pandan w ap travay oswa pandan w ap chèche travay.,,"RanpliFòm 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) oswa (https://www.irs.gov/forms-pubs/about-form-1040-nr) Fòm 1040NR (https://www.irs.gov/pub/irs-pdf/f2441.pdf) , epi enkliFòm 2441.",Ranpli anliy,Cash & expenses,,2025-02-11T11:02:03.000
ضريبة عقارية مخفضة لأصحاب المنازل من ذوي الاحتياجات الخاصة,,"\nقم بتنزيل طلب الإعفاء الأولي واملأه. يمكنك أيضًا الاتصال بالرقم 311 (http://webapps.nyc.gov:8084/CICS/fin1/find001I) لإرسال الطلب إليك بالبريد. سيُطلب منك تقديم المنطقة الإدارية والمجموعة وقطعة الأرض (BBL) الخاصة بمنزلك. يُمكنك استخدام بحث عنوان العقار(Property Address)  للإجابة على هذا السؤ\nال.اجمع المستندات اللازمة وقم بإرفاقها مع الطلب. لن يتم النظر في طلبك بدون هذه المستندات.\nأرسل طلبك مكتملاً والمستندات اللازمة إلى: New York City Department of Finance P.O.BOX 311 Maplewood, NJ 07040-0311\nيجب ختم الطلبات بختم البريد بحلول يوم 16 مارس للحصول على المزايا اعتباراً من يوم 1 يوليو من نفس العام.",التقدم بطلب عبر الإنترنت,Cash & expenses,"People with disabilities ,Homeowners",2024-10-22T11:01:28.000
Pwopriyetè kay yo kapab jwenn yon egzanpsyon sou taks pasyèl nan pwopriyete lekòl yo.,,"Si w ap gen 65 an oswa plis nan ane ou aplike a epi ou te gen yon egzanpsyon STAR sou pwopriyete w la nan 2015-16, ou ka aplike pou Enhanced STAR (E-STAR). Pou aplike nan Depatman Finans Vil New York (https://www1.nyc.gov/site/finance/benefits/landlords-star.page) , ranpli aplikasyon "" (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/star-to-estar.pdf) STAR to ESTAR (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/star_appl.pdf) "" la.Si ou te gen yon egzansyon Basic STAR sou pwopriyete ou a depi 2015 oswa anvan, epi ou te pèdi li depi lè sa a, ou ka ranpli aplikasyon STAR Benefit Restoration an pou aplike pou retabli egzansyon STAR lan.",Aplike sou entènèt,Cash & expenses,Homeowners,2024-10-22T11:01:39.000
Qualified Health Plan 是一項健康保險計畫，您每月須支付一定金額的保費。,,"如果您符合以下情況，則您可透過郵寄申請 Medicaid：\n年滿 65 歲\n經認定為眼盲\n經認定為殘障\n居住在照護機構中，並且正在申請療養院照護保險。填妥申請表 (https://www.health.ny.gov/forms/doh-4220.pdf) 和附表 A (https://www.health.ny.gov/forms/doh-5178a.pdf) 。 將申請表郵寄至： MAP Initial Eligibility Unit PO Box24390, Brooklyn, NY 11202",在線投保,Health,"Everyone,Immigrants",2024-10-04T11:01:28.000
SNAP 혜택은 신선하고 건강한 식료품을 가족에게 제공하는 데 도움을 줍니다.,,"\n (http://otda.ny.gov/programs/applications/4826-KO.pdf) 서면 신청서 (https://www1.nyc.gov/site/hra/locations/snap-locations.page) 를 인쇄하거나, SNAP 센터에서 가져가거나, HRA 인포라인(718-557-1399)에 연락해 서면 신청서를 우편으로 받으십시오.\n신청서 및 문서 사본을 우편으로 다음 주소에 보내십시오: Division of SNAP Services, Mail Application & Referral Unit (MARU) P.O. Box 24510 Brooklyn, NY 11201",온라인 신청,Food,Everyone,2024-08-09T11:01:28.000
"اہل قرار پانے والی فیملیز، غیر تولیتی والدین، اور ان افراد کے لیے ‎$11,000‏ تک کی مالیت کا ٹیکس کریڈٹ جو کل وقتی یا جز وقتی کام کرتے ہیں یا خود کا روزگار کرتے ہیں۔",,اگر اپنے ٹیکس میل کے ذریعے فائل کر رہے ہیں تو، آپ کو ان فارموں کی ضرورت ہوگی:\nوفاقی ‏EITC‏ کے لیے فارم ‎1040‏ (https://www.irs.gov/pub/irs-pdf/f1040.pdf) یا (https://www.irs.gov/forms-pubs/about-form-1040-nr) فارم ‎1040NR (https://www.irs.gov/pub/irs-pdf/f1040sei.pdf) \nاگر آپ کے پاس کوئی بچہ ہے، تو وفاقی ریٹرن کے لیے EIC شیڈول (https://www.tax.ny.gov/pdf/current_forms/it/it215_fill_in.pdf) کریں\nفارم IT-215 (https://www.tax.ny.gov/pdf/current_forms/it/it215i.pdf) برائے نیو یارک اسٹیٹ کریڈٹ\nنیو یارک سٹی کریڈٹ کے لیے IT-215 کی ہدایات کے فارم میں ورک شیٹ C۔,آن لائن فائل کریں,Cash & Expenses,,2025-02-06T11:01:55.000
প্রতিবন্ধী বাড়িমালিকদের জন্য কম সম্পত্তি কর,,"\n প্রাথমিক ছাড়ের আবেদন পত্র ডাউনলোড করু এবং সেটিকে পূরণ করুন। এছাড়াও আপনাকে আবেদন পত্র ডাকযোগে পাঠানোর জন্য 311 (https://a836-pts-access.nyc.gov/care/Search/Disclaimer.aspx?FromUrl=../search/commonsearch.aspx?mode=address) নম্বরে ফোন করতে পারেন।\nআপনার বাড়ির জন্য আপনাকে বরো, ব্লক, হোম এবং লট (BBL) প্রদান করতে বলা হবে। এটা নির্ধারণ করার জন্য আপনি সম (https://access.nyc.gov/wp-content/uploads/2017/12/DHE-InitialAppl_BE.pdf) পত্তি ঠিকানার অনুসন্ধান (https://access.nyc.gov/wp-content/uploads/2017/12/DHE-InitialAppl_BE.pdf) ব্যবহার করতে পারেন।\nআপনার প্রয়োজনীয় নথি একত্রিত করুন এবং আপনার আবেদনের সঙ্গে যুক্ত করুন। এগুলি ছাড়া আপনার আবেদন প্রক্রিয়া করা যাবে না।পূরণ করা আবেদনটি এবং সমস্ত প্রয়োজনীয় নথিপত্র এই ঠিকানায় ডাকে পাঠান: (https://access.nyc.gov/wp-content/uploads/2017/12/DHE-InitialAppl_BE.pdf) (http://www1.nyc.gov/site/finance/pay-now/person.page) New York City Department of FinanceP.O.BOX 311Maplewood, NJ 07040-0311\nসেই বছরের জুলাই 1লা থেকে সুবিধা পেতে আবেদন অবশ্যই 16ই মার্চের পোস্টমার্ক দিতে হবে।\nএছাড়াও আপনি ফাইন্যান্স বিজনেস সেন্টার বিভাগে সশরীরে এসে আবেদন করতে পারেন।",অনলাইনে আবেদন করুন,Cash & Expenses,"People with disabilities,Homeowners",2024-10-22T11:01:03.000
