program_description,how_to_apply_or_enroll_in,get_help_in_person,url_of_online_application,required_documents_summary,page_type,program_name
Le DRIE aide les locataires en situation de handicap admissibles à rester dans un logement abordable avec un gel des loyers. Les locataires paient le montant gelé du loyer. Un crédit d’impôt immobilier couvre la différence entre le montant réel du loyer et le montant gelé du loyer.,Trouvez un Centre d’assistance du ministère des Finances (Department of Finance Assistance Center) (https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page) près de chez vous pour déposer une demande. Vous pouvez avoir besoin de prendre rendez-vous pour vous rendre dans un centre.,,,"Pour déposer votre demande auprès de DRIE, vous aurez besoin de prouver les éléments suivants :\nVous recevez des prestations d'invalidité admissibles (copie de l'avis d'octroi)\nVotre âge\nVotre loyer\nVos revenus ainsi que les revenus de tous les membres du foyer vivant dans votre appartement au cours de l’année calendaire précédant votre demande. Par exemple, une demande soumise en 2018 devrait inclure les renseignements sur les revenus du foyer pour 2017. Justificatifs de revenus possibles :\nDéclarations de revenus\nAllocations de Sécurité sociale\nDéclaration 1099/W2",Program,Exemption à l’augmentation des loyers des personnes handicapées
"HEAP ede fwaye ki pa gen anpil revni yo konble depans pou chofaj lakay yo. Avantaj la kapab peye pou gaz, sous sèvis piblik ou yo, ak ranplasman epi reparasyon ekipman chofaj. Nou peye founisè chofaj oswa konpayi sèvis piblik la avantaj la dirèkman. Ou kapab jwenn HEAP menmsi chofaj ou a antre nan lwaye w.",Ou ka aplike an pèsòn pou tout konpozan HEAP yo lè w vizite yonBiwo HEAP la (https://otda.ny.gov/programs/heap/contacts/default.asp?county=New%20York%20City#result) .,,{'url': 'https://a069-access.nyc.gov/accesshra/'},,,Pwogram Èd pou Enèji nan Kay
"Twoja rodzina może otrzymać pieniądze, gdy znajdzie się w potrzebie. Wiele rodzin otrzyma środki na kartę debetową, której będzie można używać w dowolnym bankomacie lub sklepie przyjmującym karty EBT. Niektóre rodziny mogą kwalifikować się tylko do bezpośredniej zapłaty na rzecz właściciela nieruchomości.","Aby złożyć wniosek, odwiedź otwarte Centrum dostępu do świadczeń HRA (http://www1.nyc.gov/site/hra/locations/job-locations.page) . W celu ułatwienia można przynieść swój dowód osobisty, przekazać informacje na temat miejsca zamieszkania, osób w gospodarstwie domowym oraz swoich dochodów. Pracownik wyjaśni, które dowody są wymagane.",,{'url': 'https://a069-access.nyc.gov/ACCESSNYC/application.do'},"Osoby, które zechcą ubiegać się o pomoc pieniężną będą musiały udokumentować:\nswoją tożsamość, okazując np. dokument tożsamości ze zdjęciem, prawo jazdy, paszport, świadectwo naturalizacji lub dokumentację ze szpitala;\nmiejsce zamieszkania, okazując np. oświadczenie właściciela lokalu, aktualny rachunek za czynsz, dokument najmu lub kredytu hipotecznego;\ndochody (jeśli są), okazując np. ostatni odcinek wypłaty, dokumentację działalności gospodarczej, aktualne zeznanie podatkowe lub oświadczenie o świadczeniach z tytułu ubezpieczenia od bezrobocia;\nobywatelstwo lub status imigracyjny, okazując np. akt urodzenia, paszport amerykański lub dokumentację służby wojskowej.Dalsze informacje o innych dokumentach potwierdzających, jakie można przedstawić są dostępne w (https://www1.nyc.gov/assets/hra/downloads/pdf/fia-1227a-polish.pdf) poradniku dotyczącym dokumentów do pomocy pieniężnej.",Benefit,Pomoc pieniężna (Cash Assistance)
"La Sección 8 paga parte del alquiler para familias de ingresos bajos y moderados que quieran alquilar en el mercado privado. La elegibilidad para este programa se basa en los ingresos y el tamaño de la familia. Por lo general, las familias no pagarán más del 40% de sus ingresos mensuales como parte del alquiler. La NYCHA paga el resto al dueño de la propiedad.",,"Visite una sedeAgende una cita (https://wb-nycha.qmatic.cloud/) para visitar un Centro de atención al cliente (Customer Contact Center, CCC).",,,,Sección 8: Vales de elección de vivienda
"Enrollment for 2026 Qualified Health Plans are open now until January 31, 2026 through NY State of Health",Get help enrolling through a (https://nystateofhealth.ny.gov/agent/hx_brokerSearch?fromPage=INDIVIDUAL) health insurance assistor.,,{'url': 'https://nystateofhealth.ny.gov/'},,Program,Qualified Health Plans
"적격 건강 플랜은 매달 일정 금액을 지불하고 보장을 받는 민간 건강 보험 플랜입니다.본인부담금,공제금, 공동보험료 (https://www.nyc.gov/site/ochia/coverage-care/insurance-a-z.page#C) 등 본인이 부담해야 하는 비용도 있습니다.",(https://nystateofhealth.ny.gov/agent/hx_brokerSearch?fromPage=INDIVIDUAL) 건강 보험 상담원을 통해 가입하는 데 도움을 받으십시오.,,{'url': 'https://nystateofhealth.ny.gov/'},"공공 건강보험 플랜에 가입하려면 다음이 필요합니다.\n적법한 이민 상태를 나타내는 시민권/이민 서류\n소셜 시큐리티 번호(Social Security Number, SSN)\n신청하는 모든 가구 구성원의 생년월일\n현재 고용 정보\n가구 소득",Benefit,Qualified Health Plans
"New York City students can join free afterschool programs that offer homework help, sports, arts, and more. Hundreds of programs are located all over the City.","To enroll your child in a COMPASS NYC program, contact the afterschool program staff at your child’s school.",Visit your child's school Speak with an afterschool program staff person at your child's school for more information.,{'url': 'https://discoverdycd.dycdconnect.nyc/'},"To apply, you will need to provide one of the following proofs of identity for your child:\nBirth certificate\nNaturalization certificate\nOfficial birth records\nOfficial school records\nPassport\nIDNYC\nAdoption records\nBaptismal or another religious certificate",Program,Comprehensive After School System of NYC
Votre famille peut recevoir de l’argent si vous êtes dans le besoin. De nombreuses familles recevront les fonds sur une carte de débit qui peut être utilisée dans n’importe quel distributeur automatique ou magasin acceptant les cartes de transfert électronique des prestations sociales (EBT). Certaines familles ne sont admissibles qu’au versement direct des fonds à leur propriétaire.,"Rendez-vous dans un Centre d’accès aux allocations de la HRA (http://www1.nyc.gov/site/hra/locations/job-locations.page) ouvert pour déposer une demande. Il serait utile que vous fournissiez des justificatifs concernant votre identité, votre lieu de domicile, les personnes avec lesquelles vous partagez votre foyer et vos revenus. Un⸱e conseiller⸱ère vous précisera quels justificatifs vous devez présenter.",,{'url': 'https://a069-access.nyc.gov/ACCESSNYC/application.do'},"Pour faire une demande d'Aide financière, vous aure besoin de prouver les éléments suivants :\nVotre identité : il peut s'agir d'une pièce d'identité avec photo, de votre permis de conduire, de votre passeport, d'un certificat de naturalisation ou de dossiers médiaux d'hôpital.\nVotre logement : il peut s'agir d'une déclaration de votre propriétaire, d'un reçu de loyer actuel, d'un bail ou de dossiers d'hypothèque.\nVotre revenu (le cas échéant) : il peut s'agir d'un talon de paie, de documents professionnels, d'une déclaration de revenus actuelle ou d'une déclaration de Régime d'assurance chômage.\nVotre statut de citoyenneté ou d'immigration : il peut s'agir d'un certificat de naissance, d'un passeport américain ou de dossiers de service militaire.Consultez le document guide de l' (https://www1.nyc.gov/assets/hra/downloads/pdf/fia-1227a-french.pdf) Aide financière pour voir les autres types de documents que vous pouvez utiliser à titre de justificatifs.",Benefit,Aide financière en espèces (Cash Assistance)
SCRIE 計畫藉由凍結租金，協助符合資格的 62 歲及以上的年長公民居住於可負擔的住宅。承租人支付凍結租金。不動產抵減稅額負擔實際租金以及凍結租金之間的差額。,尋找離您最近的財政部協助中心 (https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page) 以進行申請。您可能需要預約才能造訪中心。,,{'url': 'https://www1.nyc.gov/site/rentfreeze/tools/nyc-tap.page'},若要申請 SCRIE，您需要提供以下資訊：\n您的年齡\n您的房租金額 (先前及目前的租屋文件 - 例如租約等)\n 提交申請之前，您必須列出您的收入以及在日曆年度期間與您一同居住的所有家庭成員的收入。例如，在 2018 年提交的申請可能需要包含 2017 年的家庭收入資訊。收入證明可能包含其他文件：\n報稅表\n社會安全福利金\n1099/W2 聲明,Program,老年公民租金上漲豁免
"Andikape ki gen youn (1) a twa (3) kay, apatman prive, oswa apatman an komen, kapab jwi yon diminisyon enpo fonsye sou rezidans prensipal yo a gras ak Egzansyon pou Pwopriyetè Andikape (Disabled Homeowners Exemption (DHE)). Egzansyon pou Pwopriyetè Andikape (Disabled Homeowners Exemption (DHE)) fè yon rediksyon ant senk (5) a senkant (50) pousan sou enpo fonsye. Rediksyon sou enpo fonsye a depann de revni fanmi an.",Aplike fas-a-fas nan yon Sant Biznis Department of Finance.,Vizite yon biwoVizite yon Sant Biznis (https://access.nyc.gov/locations/?lat=6864) Department of Finance (lendi jiska vandredi 8:30 a.m. Jiska 4:30 p.m.) pou jwenn èd fas-a-fas.,{'url': 'https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_DHE'},"Pou aplike pou DHE w ap bezwen pwouve bagay sa yo:\nSitiyasyon andikap ou: Youn nan bagay sa yo:\nKopi lèt Atribisyon Avantaj Andikap nan Administrasyon Sekirite Sosyal (Social Security Administration) la\nKopi lèt Atribisyon Avantaj Andikap nan Komisyon Konsèy Retrèt Chemennfè (Railroad Retirement Board) an oswa nan Sèvis Lapòs Etazini (U.S Postal Service)\nKopi Sètifika nan Komisyon Eta New York pou Avèg yo, oswa yon lèt Administrasyon Veteran (Veterans Administration) ki deklare ke ou gen dwa pou yon pansyon pou enfimite veteran.\nRevni ou: kopi deklarasyon taks federal ou ak rejim fiskal/atachman pou tout pwopriyetè. Si tout pwopriyetè pa depoze deklarasyon sou taks, prèv kantite revni yo fè chak ane.\nDediksyon ou yo: \nKopi resi bòdwo yo ou peye, bòdwo medikal ki pa ranbouse nan ane ke ou ap soumèt dokiman revni oswa \nsoumèt yon kopi Anèks A ou.",Program,Egzanpsyon Pwopriyetè Kay Andikape
"The EITC is a tax credit for qualifying families, noncustodial parents, and individuals who work full time or part time or are self-employed. There are federal, state, and New York City versions of the EITC.","Get in-person tax filing help throughNYC Free Tax Prep (https://www1.nyc.gov/site/dca/consumers/file-your-taxes.page) . IRS-certified VITA/TCE volunteer preparers can help you file in person, or after you drop off your documents.",,{'url': 'https://www.getyourrefund.org/'},See a list of documents (https://www.nyc.gov/site/dca/consumers/file-your-taxes-documents.page) you'll need to file your taxes and claim the EITC.,Benefit,Earned Income Tax Credit
