get_help_by_email,how_to_apply_or_enroll_online,program_name,get_help_in_person,heads_up,page_type,apply_online_call_to_action
,<p>     The City can help you find a website where you can file your taxes for free. </p>,Child Tax Credit,"<p>     <strong>Visit a tax prep location</strong> </p> <p>     Visit a <a href=""https://access.nyc.gov/locations/?programs=6861"" target=""_blank"">tax prep location</a> to get help filing your taxes in person.<br> </p>","<ul>     <li>File your taxes by April 17, 2018     </li>     <li>The child or dependent must be a US citizen or resident and must have lived with you for over half the year to qualify     </li>     <li>You can claim your child, stepchild, adopted child, foster child, grandchild, or great-grandchild     </li>     <li>If you have siblings, step-siblings, or half-siblings that live with you, you can also claim them     </li>     <li>If you qualify, the government mails your refund or deposits it into your bank account     </li>     <li>Refunds for filers who claim CTC will not be distributed until February 15     </li> </ul>",Benefit,File online
,"<p>     To join ASAP, follow these easy steps: </p> <ul>     <li>         <a href=""http://www1.cuny.edu/sites/asap/how-to-apply/"" target=""_blank""><u>Apply to a CUNY college</u></a> that has ASAP.     </li>     <li>Complete the <a href=""http://www.fafsa.gov/"" target=""_blank""><u>Free Application for Federal Student Aid (FAFSA</u></a>) and the <a href=""http://www.hesc.ny.gov/"" target=""_blank""><u>New York State Tuition Assistance Program (TAP) application</u></a>.     </li>     <li>Accept your offer of admission.     </li>     <li>Complete all admissions requirements for your college, including the <a href=""http://www2.cuny.edu/academics/testing/""><u>CUNY Assessment Tests</u></a> if necessary.     </li>     <li>         <a href=""http://www1.cuny.edu/sites/asap/contact/""><u>Check your college's ASAP website</u></a> for information on additional requirements and next steps.     </li> </ul>",Accelerated Study in Associate Programs,"<p>     <strong>Visit the Welcome Center</strong> </p> <p>     Drop by the <a href=""http://www2.cuny.edu/admissions/undergraduate/welcomecenter/""><u>CUNY Welcome Center</u></a> for help with your CUNY application and to learn more about other CUNY programs. </p> <p>     217 E. 42nd St.<br>     New York, NY 1001 </p>","<ul>     <li>ASAP is offered at <a href=""http://www1.cuny.edu/sites/asap/join-asap/#join-us"" target=""_blank""><u>9 CUNY colleges</u></a> in all five boroughs     </li>     <li>Students must complete the <a href=""http://www.fafsa.gov/""><u>FAFSA</u></a> and New York State <a href=""http://www.hesc.ny.gov/""><u>TAP</u></a> application each year, and accept any <a href=""http://www2.cuny.edu/financial-aid/federal-and-state-grants/""><u>federal and state grant aid</u></a> awarded (Pell, SEOG, TAP)     </li>     <li>An ASAP-like program, <a href=""http://www.jjay.cuny.edu/ace-john-jay""><u>ACE (Accelerate, Complete, Engage)</u></a>, provides the same benefits as ASAP and available to students at John Jay College of Criminal Justice     </li> </ul>",Program,Apply to CUNY
,,Summer Meals,,"<ul>     <li>No registration, documentation, or ID is required to receive a free breakfast or lunch meal     </li>     <li>For children 18 and under     </li>     <li>Find <a href=""http://www.schoolfoodnyc.org/sch_search/summermeals.aspx"" target=""_blank"">Free Summer Meals locations</a>     </li> </ul>",Program,
"<p>     <strong>Text a counselor now</strong> </p> <p>     Text WELL to <a href=""sms:65173"">65173</a> at anytime to communicate with a counselor. When prompted text:<br> </p> <ul>     <li>1 for English     </li>     <li>2 for Spanish     </li>     <li>3 for Chinese     </li> </ul>",,NYC Well,"<p>     <strong>Chat with a counselor now</strong> </p> <p>     Go to the <a href=""https://nycwell.cityofnewyork.us/en/get-help-now/chat-with-a-counselor-now/"" target=""_blank"">NYC Well website to chat</a> with a counselor at anytime. </p>","<ul>     <li>You can get access to services in more than 200 languages     </li>     <li>Counselors are available everyday, at any hour of the day     </li>     <li>You can also get help finding long-term counseling and scheduling appointments     </li> </ul>",Resource,
,<p>     The City can help you find a website where you can file your taxes for free.<br> </p>,Child and Dependent Care Tax Credit,"<p>     <strong>Visit a tax prep location</strong> </p> <p>     Visit a <a href=""https://access.nyc.gov/locations/?programs=6875"" target=""_blank"">tax prep location</a> to get help filing your taxes in person. </p>","<ul>     <li>File your taxes by April 17, 2018     </li>     <li>The tax credit equals 20-to-35 percent of what you spent on care for a child 12 and under     </li>     <li>If you qualify, the government mails your refund or deposits it into your bank account     </li>     <li>Single parents and custodial divorced parents can also qualify for this credit     </li> </ul>",Benefit,File online
"<p>     <strong>Email the Department of Finance</strong> </p> <p>     Email the <a href=""http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page"" target=""_blank"">Department of Finance</a> if you have questions about this program. </p>",,Veterans' Property Tax Exemption,"<p>     <strong>Visit an office</strong> </p> <p>     Visit a <a href=""http://www1.nyc.gov/site/finance/pay-now/person.page"" target=""_blank"">Department of Finance office</a> to get help in person.<br> </p>","<ul>     <li>Your application needs to be postmarked by March 15 in order for your benefits to start on July 1. If March 15 is on a weekend, then the deadline will be the next business day     </li>     <li>         <a href=""http://webapps.nyc.gov:8084/CICS/fin1/find001I"" target=""_blank"">Determine the borough, block, and lot (BBL)</a> for your property using link or checking information on current property tax bill     </li> </ul>",Program,
,,Emergency Food Assistance Program,"<p>     <strong>Visit food assistance locations</strong> </p> <p>     Visit the nearest active <a href=""https://access.nyc.gov/locations/?&amp;programs=15061"" target=""_blank"">Emergency Food Assistance Program</a>. </p>","<ul>     <li>For urgent food and hunger needs, call the Emergency Food Hotline at <a href=""tel:866-888-8777"">866-888-8777</a>. You'll be provided with hours of operation and directions to the nearest food pantries and community kitchens     </li>     <li>Everyone is eligible for emergency food assistance, regardless of immigration status or how much money you have     </li>     <li>Food pantries and community kitchens exist in all five boroughs     </li>     <li>If you often need help buying food, use <a href=""https://access.nyc.gov/"" target=""_blank"">ACCESS NYC</a> to see if you're eligible for SNAP (food stamps) and other benefits     </li>     <li>Some locations offer kosher food     </li> </ul>",Program,
,,Family Resource Centers,,"<ul>     <li>Some FRCs offer services in a range of languages, including Spanish, Cantonese, Mandarin, Chinese, French, and Creole     </li>     <li>The Bronx, Brooklyn, Manhattan, and Queens each have two FRCs, and Staten Island has one     </li>     <li>Services can be directed to the parent/caregiver or their child     </li> </ul>",Resource,
"<p>     <strong>Email STAR</strong> </p> <p>     Email the <a href=""http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page"" target=""_blank"">NYC Department of Finance</a> if you have question about STAR. </p>",<p>     You can register for the STAR credit online in just a few minutes. Your application will be reviewed automatically to see if you are eligible for Basic or Enhanced STAR. </p>,School Tax Relief Program,"<p>     <strong>Visit a center</strong><br> </p> <p>     Find a <a href=""http://www1.nyc.gov/site/finance/about/contact-us.page"" target=""_blank"">center</a> to get help in person. </p>","<ul>     <li>Basic STAR is for all homeowners and worth about $300 credit, Enhanced STAR is for people 65 and older and is worth about $600     </li>     <li>If you\u2019re eligible for the STAR credit, you\u2019ll receive a check for the amount of your STAR savings<br>     </li>     <li>Senior citizens getting STAR may also be eligible for the Senior Citizens Homeowners\u2019 Exemption (SCHE)<br>     </li>     <li>You do <strong>not</strong> need to register for STAR if you are a longtime homeowner with an existing STAR exemption<br>     </li> </ul>",Benefit,Register online
,<p>     Visit the NY State of Health website to enroll in coverage online if you are under 65 years old.<br> </p>,Health Insurance Assistance,"<p>     <strong>Get help in person</strong> </p> <p>     Find a <a href=""http://www1.nyc.gov/apps/311utils/providerInformation.htm?serviceId=3820"" target=""_blank"">free health insurance assistor</a> to get help in person. You can download and print a paper application.<br> </p>","<ul>     <li>Open enrollment through the NY State of Health Marketplace is from November to January each year     </li>     <li>Options are available for all New Yorkers, even if you are not a citizen     </li>     <li>Obtaining health insurance helps you to pay for planned or unexpected medical care     </li> </ul>",Benefit,Enroll online
,"<p>     You can use Discover DYCD to find programs in your area. To get started: </p> <ol>     <li>Go to the <a href=""http://www.dycdportal.nyc/discoverdycd/home"" target=""_blank""><u>Discover DYCD</u></a> website.     </li>     <li>Click ""Show Advanced Search"" in the ""Basic Search"" box     </li>     <li>Select ""Young Adult Internship Programs"" from the ""All Programs"" dropdown     </li> </ol>",Intern & Earn (formerly the Young Adult Internship Program),"<p>     <strong>Visit the website</strong><br>     <br>     Visit the <a href=""https://www1.nyc.gov/site/dycd/services/jobs-internships/young-adult-internship-program-yaip.page"" target=""_blank""><u>DYCD website</u></a> for more information. </p>","<ul>     <li>Programs are free and available to youth ages 16-24 who are not in school and not working     </li>     <li>Enrollment is at different times throughout the year     </li>     <li>Job placement is available in many industries, including construction, hospitality, healthcare, and retail     </li> </ul>",Program,Find a program
